INSERT INTO tb_vendas_itens 
(vite_quantidade, vite_valor_parcial) VALUES 
('18146', '5.00'),
('20783', '17.00'),
('67637', '4.00'),
('46356', '49.00'),
('80404', '32.00'),
('34829', '26.00'),
('27262', '40.00'),
('87177', '30.00'),
('56550', '2.00'),
('17856', '49.00'),
('50792', '39.00'),
('81152', '7.00'),
('13053', '37.00'),
('27588', '25.00'),
('98708', '20.00'),
('10173', '39.00'),
('50964', '47.00'),
('37977', '24.00'),
('19230', '19.00'),
('98450', '32.00'),
('54916', '48.00'),
('20340', '50.00'),
('27561', '30.00'),
('23791', '6.00'),
('61193', '48.00'),
('30542', '39.00'),
('25683', '45.00'),
('27453', '11.00'),
('94430', '31.00'),
('93228', '40.00'),
('77772', '5.00'),
('36256', '46.00'),
('81860', '23.00'),
('37258', '15.00'),
('62034', '34.00'),
('28410', '12.00'),
('53399', '18.00'),
('31505', '6.00'),
('78507', '25.00'),
('34568', '34.00'),
('99969', '38.00'),
('53370', '20.00'),
('59887', '40.00'),
('50288', '4.00'),
('31541', '46.00'),
('68976', '25.00'),
('42273', '48.00'),
('20207', '5.00'),
('16175', '20.00'),
('99216', '33.00'),
('61000', '7.00'),
('50657', '20.00'),
('58482', '32.00'),
('15900', '3.00'),
('88291', '10.00'),
('24835', '15.00'),
('63824', '36.00'),
('40762', '35.00'),
('89224', '30.00'),
('68523', '41.00'),
('60577', '43.00'),
('74143', '19.00'),
('93549', '11.00'),
('19549', '13.00'),
('34254', '1.00'),
('30283', '17.00'),
('65237', '27.00'),
('79200', '40.00'),
('63768', '21.00'),
('22682', '23.00'),
('89313', '47.00'),
('58624', '31.00'),
('53973', '37.00'),
('95535', '6.00'),
('33582', '18.00'),
('10777', '50.00'),
('65816', '17.00'),
('77350', '38.00'),
('80394', '7.00'),
('11376', '15.00'),
('57702', '21.00'),
('28770', '10.00'),
('51957', '33.00'),
('12849', '25.00'),
('66981', '1.00'),
('87537', '11.00'),
('74008', '6.00'),
('79326', '29.00'),
('39209', '44.00'),
('83635', '44.00'),
('17058', '15.00'),
('97788', '18.00'),
('73440', '11.00'),
('36559', '6.00'),
('16793', '4.00'),
('34671', '18.00'),
('18115', '32.00'),
('28423', '47.00'),
('47096', '49.00'),
('62735', '13.00'),
('91222', '38.00'),
('24318', '20.00'),
('43483', '21.00'),
('90361', '13.00'),
('32423', '7.00'),
('65135', '14.00'),
('57039', '21.00'),
('20760', '39.00'),
('41729', '22.00'),
('29546', '21.00'),
('19774', '37.00'),
('53053', '47.00'),
('68801', '29.00'),
('55836', '1.00'),
('50046', '28.00'),
('64976', '15.00'),
('54625', '27.00'),
('68106', '49.00'),
('57412', '40.00'),
('51421', '2.00'),
('58506', '14.00'),
('28709', '45.00'),
('23911', '3.00'),
('28946', '35.00'),
('86729', '36.00'),
('63776', '29.00'),
('26791', '21.00'),
('37709', '17.00'),
('34020', '4.00'),
('61140', '17.00'),
('59899', '37.00'),
('46192', '8.00'),
('80700', '34.00'),
('29260', '34.00'),
('64309', '37.00'),
('88924', '28.00'),
('47953', '27.00'),
('66184', '7.00'),
('66259', '14.00'),
('50693', '23.00'),
('60159', '3.00'),
('37235', '30.00'),
('52426', '6.00'),
('26095', '22.00'),
('70002', '13.00'),
('13364', '47.00'),
('36133', '2.00'),
('47620', '47.00'),
('84266', '3.00'),
('14274', '43.00'),
('63584', '41.00'),
('17703', '1.00'),
('81476', '33.00'),
('70279', '21.00'),
('81860', '20.00'),
('22892', '24.00'),
('64724', '49.00'),
('95645', '42.00'),
('50621', '35.00'),
('46976', '2.00'),
('59671', '31.00'),
('85502', '39.00'),
('85509', '4.00'),
('46526', '2.00'),
('24883', '21.00'),
('50178', '13.00'),
('58425', '4.00'),
('80119', '3.00'),
('52560', '50.00'),
('64918', '25.00'),
('20551', '22.00'),
('12643', '3.00'),
('80802', '4.00'),
('81740', '45.00'),
('48546', '26.00'),
('35780', '20.00'),
('90321', '40.00'),
('92667', '20.00'),
('98360', '16.00'),('61770', '21.00'),
('86583', '19.00'),
('61686', '2.00'),
('14001', '23.00'),
('13208', '4.00'),
('56559', '4.00'),
('81014', '26.00'),
('50461', '40.00'),
('47119', '32.00'),
('58056', '45.00'),
('86983', '41.00'),
('30124', '17.00'),
('13866', '37.00'),
('64273', '26.00'),
('85838', '1.00'),
('35044', '1.00'),
('29091', '37.00'),
('10862', '31.00'),
('40980', '15.00'),
('18317', '49.00'),
('73440', '48.00'),
('17601', '26.00'),
('72607', '33.00'),
('56678', '48.00'),
('98431', '28.00'),
('95184', '14.00'),
('45907', '30.00'),
('27503', '18.00'),
('77787', '39.00'),
('18788', '49.00'),
('60825', '34.00'),
('33811', '30.00'),
('90911', '27.00'),
('87492', '28.00'),
('63754', '8.00'),
('41146', '28.00'),
('21979', '37.00'),
('96574', '14.00'),
('43812', '18.00'),
('18159', '18.00'),
('90702', '29.00'),
('83462', '28.00'),
('51774', '19.00'),
('25361', '25.00'),
('39562', '37.00'),
('72630', '6.00'),
('99750', '3.00'),
('85464', '25.00'),
('37609', '23.00'),
('80900', '19.00'),
('83506', '45.00'),
('54870', '13.00'),
('84678', '46.00'),
('50144', '16.00'),
('14652', '1.00'),
('53197', '34.00'),
('73224', '25.00'),
('23308', '41.00'),
('21106', '7.00'),
('39880', '19.00'),
('23691', '29.00'),
('58936', '39.00'),
('17690', '30.00'),
('80601', '36.00'),
('98040', '17.00'),
('96347', '46.00'),
('42518', '9.00'),
('15217', '23.00'),
('43954', '6.00'),
('57783', '42.00'),
('93638', '27.00'),
('88620', '31.00'),
('80619', '39.00'),
('35758', '35.00'),
('36210', '14.00'),
('73975', '37.00'),
('59332', '10.00'),
('17433', '5.00'),
('97134', '38.00'),
('83192', '1.00'),
('67615', '38.00'),
('98868', '17.00'),
('64898', '42.00'),
('51898', '32.00'),
('59045', '6.00'),
('88776', '43.00'),
('83519', '39.00'),
('90924', '22.00'),
('69677', '23.00'),
('48960', '14.00'),
('92631', '41.00'),
('39483', '17.00'),
('69907', '29.00'),
('14330', '38.00'),
('69754', '16.00'),
('62278', '23.00'),
('43288', '45.00'),
('75125', '1.00'),
('92478', '25.00'),
('92929', '10.00'),
('57669', '38.00'),
('98641', '42.00'),
('39273', '35.00'),
('51175', '43.00'),
('61991', '1.00'),
('27726', '27.00'),
('29753', '49.00'),
('71713', '33.00'),
('85396', '5.00'),
('24780', '44.00'),
('76870', '15.00'),
('74155', '7.00'),
('33476', '29.00'),
('22384', '42.00'),
('81812', '15.00'),
('44943', '48.00'),
('91378', '19.00'),
('80724', '14.00'),
('58158', '19.00'),
('99394', '12.00'),
('65038', '30.00'),
('36183', '3.00'),
('48403', '22.00'),
('81167', '24.00'),
('53189', '7.00'),
('26579', '12.00'),
('23079', '23.00'),
('32328', '15.00'),
('79692', '9.00'),
('99145', '10.00'),
('97846', '10.00'),
('54167', '31.00'),
('47057', '16.00'),
('63900', '3.00'),
('85310', '39.00'),
('11361', '2.00'),
('58465', '32.00'),
('17348', '4.00'),
('38886', '18.00'),
('49886', '46.00'),
('63661', '8.00'),
('95862', '33.00'),
('41208', '32.00'),
('30168', '19.00'),
('58465', '11.00'),
('65191', '21.00'),
('60074', '39.00'),
('68004', '23.00'),
('80205', '9.00'),
('64358', '35.00'),
('63314', '33.00'),
('72172', '45.00'),
('90304', '38.00'),
('37578', '45.00'),
('29937', '41.00'),
('67044', '8.00'),
('76329', '44.00'),
('65519', '29.00'),
('84982', '21.00'),
('65203', '31.00'),
('60665', '9.00'),
('97831', '14.00'),
('78441', '16.00'),
('42875', '46.00'),
('15004', '39.00'),
('13462', '43.00'),
('49555', '6.00'),
('74496', '48.00'),
('32093', '24.00'),
('44097', '13.00'),
('57093', '40.00'),
('70829', '49.00'),
('75616', '47.00'),
('72973', '30.00'),
('26485', '48.00'),
('55748', '27.00'),
('20438', '28.00'),
('31658', '3.00'),
('27983', '38.00'),
('27242', '42.00'),
('35489', '37.00'),
('13880', '40.00'),
('19632', '5.00'),
('23084', '31.00'),
('64801', '8.00'),
('68794', '36.00'),
('35174', '42.00'),
('98974', '36.00'),
('91936', '40.00'),
('51206', '32.00'),
('73413', '9.00'),
('86094', '27.00'),
('98692', '15.00'),
('58863', '7.00'),
('58443', '40.00'),
('14556', '22.00'),
('70843', '13.00'),
('56640', '11.00'),
('24183', '47.00'),
('21798', '32.00'),
('72707', '31.00'),
('69606', '25.00'),
('41628', '37.00'),
('17102', '16.00'),
('89088', '6.00'),
('63459', '7.00'),
('95753', '24.00'),
('21339', '39.00'),
('41671', '46.00'),
('22197', '45.00'),
('81762', '20.00'),
('75485', '11.00'),
('68683', '13.00'),
('38882', '24.00'),
('52348', '9.00'),
('56632', '15.00'),
('40705', '50.00'),
('55484', '36.00'),
('38373', '6.00'),
('80845', '1.00'),
('21711', '9.00'),
('29951', '6.00'),
('96353', '45.00'),
('60501', '39.00'),
('69696', '2.00'),
('46620', '41.00'),
('19625', '22.00'),
('26721', '38.00'),
('34171', '34.00'),
('19616', '4.00'),
('38674', '28.00'),
('99116', '21.00'),
('94620', '42.00'),
('64627', '37.00'),
('63366', '15.00'),
('79313', '26.00'),
('57813', '14.00'),
('86499', '32.00'),
('24036', '17.00'),
('97948', '23.00'),
('78336', '46.00'),
('88556', '39.00'),
('39279', '10.00'),
('87556', '36.00'),
('99288', '8.00'),
('17754', '10.00'),
('48754', '1.00'),
('50719', '28.00'),
('34238', '28.00'),
('21715', '44.00'),
('63673', '20.00'),
('42200', '12.00'),
('69140', '3.00'),
('79647', '49.00'),
('58218', '37.00'),
('10069', '25.00'),
('34211', '38.00'),
('99745', '42.00'),
('77714', '6.00'),
('68647', '5.00'),
('27333', '47.00'),
('37049', '12.00'),
('58713', '48.00'),
('70832', '33.00'),
('53257', '3.00'),
('62000', '33.00'),
('17043', '41.00'),
('71046', '39.00'),
('87143', '13.00'),
('86982', '18.00'),
('61370', '7.00'),
('60007', '9.00'),
('86208', '9.00'),
('37103', '30.00'),
('69088', '12.00'),
('57842', '36.00'),
('17358', '31.00'),
('76578', '7.00'),
('49230', '50.00'),
('59587', '27.00'),
('60523', '36.00'),
('33385', '32.00'),
('63835', '37.00'),
('16488', '1.00'),
('47949', '34.00'),
('30500', '27.00'),
('52017', '22.00'),
('34716', '24.00'),
('78732', '41.00'),
('18276', '40.00'),
('20038', '29.00'),
('69759', '10.00'),
('37559', '13.00'),
('58755', '36.00'),
('40295', '17.00'),
('62509', '21.00'),
('77336', '15.00'),
('90978', '18.00'),
('89457', '29.00'),
('10089', '33.00'),
('51321', '35.00'),
('87008', '19.00'),
('85347', '49.00'),
('66001', '8.00'),
('35826', '27.00'),
('17296', '16.00'),
('85778', '46.00'),
('94561', '39.00'),
('97730', '3.00'),
('98468', '26.00'),
('11180', '39.00'),
('53431', '39.00'),
('85234', '16.00'),
('24726', '21.00'),
('55246', '4.00'),
('42608', '1.00'),
('13079', '36.00'),
('40393', '39.00'),
('41636', '46.00'),
('56833', '23.00'),
('62319', '27.00'),
('57951', '15.00'),
('59413', '6.00'),
('62364', '27.00'),
('73488', '40.00'),
('52568', '20.00'),
('23702', '32.00'),
('92041', '2.00'),
('37126', '38.00'),
('10399', '25.00'),
('26422', '20.00'),
('70894', '48.00'),
('21838', '19.00'),
('67561', '21.00'),
('33110', '11.00'),
('76362', '44.00'),
('14972', '45.00'),
('82704', '5.00'),
('66037', '33.00'),
('85633', '23.00'),
('18502', '47.00'),
('12850', '30.00'),
('15224', '49.00'),
('33140', '36.00'),
('80585', '22.00'),
('46757', '39.00'),
('77632', '25.00'),
('40184', '7.00'),
('43686', '27.00'),
('67819', '42.00'),
('79612', '20.00'),
('51360', '5.00'),
('86275', '47.00'),
('80952', '41.00'),
('34766', '42.00'),
('59509', '13.00'),
('53389', '48.00'),
('83397', '9.00'),
('68548', '14.00'),
('74821', '8.00'),
('36460', '8.00'),
('78877', '25.00'),
('54064', '18.00'),
('73136', '34.00'),
('57861', '36.00'),
('60860', '2.00'),
('53534', '50.00'),
('17138', '22.00'),
('50820', '23.00'),
('95590', '19.00'),
('71297', '26.00'),
('49518', '27.00'),
('95408', '3.00'),
('48536', '16.00'),
('95703', '33.00'),
('42805', '2.00'),
('82194', '12.00'),
('59929', '40.00'),
('77665', '29.00'),
('43630', '23.00'),
('41618', '23.00'),
('75301', '9.00'),
('33619', '6.00'),
('66598', '6.00'),
('61296', '6.00'),
('24727', '50.00'),
('39993', '25.00'),
('70331', '10.00'),
('66725', '44.00'),
('86968', '20.00'),
('22830', '8.00'),
('67344', '42.00'),
('62517', '45.00'),
('88098', '1.00'),
('14125', '13.00'),
('41273', '37.00'),
('62279', '25.00'),
('62164', '36.00'),
('83650', '44.00'),
('87354', '44.00'),
('65472', '39.00'),
('62042', '32.00'),
('68685', '47.00'),
('21574', '47.00'),
('82143', '23.00'),
('82675', '45.00'),
('31861', '1.00'),
('54008', '17.00'),
('54680', '23.00'),
('29333', '43.00'),
('66524', '30.00'),
('61517', '3.00'),
('56731', '42.00'),
('26603', '9.00'),
('89263', '17.00'),
('64034', '14.00'),
('65108', '38.00'),
('97282', '37.00'),
('43986', '27.00'),
('37495', '13.00'),
('48505', '47.00'),
('87270', '35.00'),
('33408', '7.00'),
('23536', '33.00'),
('62765', '14.00'),
('13144', '18.00'),
('45774', '8.00'),
('22122', '24.00'),
('93173', '46.00'),
('76339', '24.00'),
('64444', '19.00'),
('85863', '22.00'),
('70081', '45.00'),
('92696', '12.00'),
('82528', '11.00'),
('65575', '35.00'),
('85736', '2.00'),
('32797', '4.00'),
('92496', '26.00'),
('52062', '33.00'),
('80056', '6.00'),
('61000', '9.00'),
('95055', '36.00'),
('13048', '12.00'),
('79972', '5.00'),
('42709', '14.00'),
('53738', '27.00'),
('17486', '11.00'),
('33196', '4.00'),
('74528', '49.00'),
('47437', '1.00'),
('90149', '19.00'),
('20382', '30.00'),
('73109', '16.00'),
('64458', '7.00'),
('84313', '31.00'),
('25510', '31.00'),
('21939', '20.00'),
('35149', '34.00'),
('23670', '26.00'),
('57815', '4.00'),
('72600', '23.00'),
('53541', '42.00'),
('22948', '34.00'),
('41352', '22.00'),
('21810', '7.00'),
('68675', '46.00'),
('93975', '32.00'),
('20816', '37.00'),
('26424', '34.00'),
('97496', '15.00'),
('43434', '23.00'),
('42784', '32.00'),
('36325', '4.00'),
('66371', '48.00'),
('24976', '35.00'),
('69649', '9.00'),
('26280', '11.00'),
('57162', '31.00'),
('36684', '50.00'),
('98419', '16.00'),
('53747', '12.00'),
('71789', '38.00'),
('22680', '13.00'),
('29215', '17.00'),
('90528', '14.00'),
('34346', '1.00'),
('63471', '4.00'),
('10800', '14.00'),
('60949', '14.00'),
('79642', '48.00'),
('86029', '9.00'),
('81284', '33.00'),
('20720', '2.00'),
('99991', '12.00'),
('27415', '45.00'),
('60698', '20.00'),
('21577', '41.00'),
('47129', '3.00'),
('73373', '1.00'),('55642', '35.00'),
('87464', '29.00'),
('36655', '26.00'),
('86666', '44.00'),
('36500', '25.00'),
('33901', '16.00'),
('79974', '20.00'),
('41356', '8.00'),
('36782', '13.00'),
('21648', '32.00'),
('35891', '50.00'),
('21203', '40.00'),
('94364', '25.00'),
('68643', '35.00'),
('30073', '35.00'),
('79458', '1.00'),
('74807', '1.00'),
('96914', '1.00'),
('71553', '33.00'),
('33236', '44.00'),
('49984', '46.00'),
('70541', '25.00'),
('61113', '22.00'),
('48776', '10.00'),
('37495', '34.00'),
('55523', '48.00'),
('46293', '19.00'),
('23256', '16.00'),
('31264', '6.00'),
('26343', '42.00'),
('84298', '46.00'),
('20009', '48.00'),
('69250', '9.00'),
('53254', '15.00'),
('56378', '18.00'),
('28499', '11.00'),
('94623', '7.00'),
('61778', '3.00'),
('10801', '37.00'),
('99616', '35.00'),
('50953', '39.00'),
('36118', '43.00'),
('47867', '11.00'),
('95879', '17.00'),
('45418', '18.00'),
('83051', '10.00'),
('27089', '9.00'),
('58030', '19.00'),
('88440', '32.00'),
('33510', '11.00'),
('73326', '3.00'),
('77391', '4.00'),
('37214', '21.00'),
('17205', '30.00'),
('30134', '34.00'),
('79988', '21.00'),
('59189', '48.00'),
('49700', '9.00'),
('31890', '27.00'),
('27056', '50.00'),
('94150', '45.00'),
('41695', '49.00'),
('42262', '14.00'),
('45404', '42.00'),
('63100', '8.00'),
('46183', '44.00'),
('55551', '41.00'),
('74403', '43.00'),
('54609', '16.00'),
('37454', '14.00'),
('39698', '15.00'),
('17383', '3.00'),
('74054', '19.00'),
('34083', '16.00'),
('87923', '8.00'),
('87120', '3.00'),
('83748', '31.00'),
('56013', '50.00'),
('61573', '22.00'),
('37304', '16.00'),
('77801', '8.00'),
('90301', '36.00'),
('78667', '31.00'),
('33600', '22.00'),
('25892', '2.00'),
('78667', '40.00'),
('71490', '16.00'),
('42306', '12.00'),
('68445', '33.00'),
('33974', '26.00'),
('83341', '12.00'),
('12344', '42.00'),
('57039', '34.00'),
('11735', '19.00'),
('77049', '2.00'),
('96941', '19.00'),
('71013', '42.00'),
('33544', '8.00'),
('91148', '32.00'),
('76482', '6.00'),
('61568', '17.00'),
('33853', '32.00'),
('99178', '42.00'),
('62200', '34.00'),
('81345', '37.00'),
('84762', '29.00'),
('31811', '26.00'),
('52561', '46.00'),
('78748', '43.00'),
('70496', '23.00'),
('88948', '11.00'),
('37058', '5.00'),
('91206', '28.00'),
('92924', '9.00'),
('72127', '25.00'),
('63613', '3.00'),
('68170', '27.00'),
('23622', '25.00'),
('86842', '39.00'),
('18613', '23.00'),
('45094', '50.00'),
('11820', '25.00'),
('67838', '6.00'),
('52536', '21.00'),
('43858', '7.00'),
('84886', '48.00'),
('87661', '1.00'),
('34271', '8.00'),
('69531', '19.00'),
('14816', '23.00'),
('24901', '3.00'),
('41934', '14.00'),
('18760', '30.00'),
('13228', '48.00'),
('93082', '25.00'),
('60889', '12.00'),
('72682', '41.00'),
('17043', '49.00'),
('84426', '17.00'),
('41225', '7.00'),
('65917', '22.00'),
('47253', '42.00'),
('63411', '10.00'),
('52475', '9.00'),
('81219', '49.00'),
('48589', '9.00'),
('79722', '33.00'),
('52111', '4.00'),
('13065', '2.00'),
('85149', '3.00'),
('16662', '32.00'),
('69520', '14.00'),
('64192', '25.00'),
('75063', '26.00'),
('91014', '43.00'),
('29992', '37.00'),
('29422', '47.00'),
('75663', '35.00'),
('11593', '47.00'),
('76621', '30.00'),
('17286', '19.00'),
('63413', '35.00'),
('80754', '28.00'),
('70099', '15.00'),
('74652', '19.00'),
('31271', '30.00'),
('21672', '21.00'),
('28480', '34.00'),
('99785', '12.00'),
('34764', '47.00'),
('19173', '11.00'),
('13778', '27.00'),
('78899', '8.00'),
('99879', '43.00'),
('10970', '27.00'),
('41276', '23.00'),
('24252', '9.00'),
('41199', '44.00'),
('74586', '43.00'),
('39640', '49.00'),
('68400', '15.00'),
('19753', '20.00'),
('53915', '36.00'),
('21640', '15.00'),
('66399', '38.00'),
('64291', '40.00'),
('49695', '33.00'),
('33543', '15.00'),
('19511', '20.00'),
('50398', '21.00'),
('24300', '9.00'),
('34972', '16.00'),
('34564', '39.00'),
('27134', '6.00'),
('52867', '35.00'),
('41281', '48.00'),
('88199', '42.00'),
('91244', '35.00'),
('39316', '25.00'),
('63261', '43.00'),
('51596', '38.00'),
('47046', '39.00'),
('70752', '35.00'),
('58463', '42.00'),
('39016', '38.00'),
('18302', '48.00'),
('16635', '45.00'),
('22145', '8.00'),
('50263', '43.00'),
('24264', '43.00'),
('72758', '41.00'),
('83770', '48.00'),
('53796', '29.00'),
('18383', '18.00'),
('80223', '46.00'),
('80317', '14.00'),
('24371', '27.00'),
('35251', '7.00'),
('71019', '7.00'),
('11114', '45.00'),
('89705', '9.00'),
('13706', '2.00'),
('70416', '28.00'),
('23444', '2.00'),
('19238', '20.00'),
('27705', '34.00'),
('31343', '12.00'),
('81160', '30.00'),
('14562', '11.00'),
('36194', '46.00'),
('51239', '33.00'),
('46144', '24.00'),
('97854', '49.00'),
('66372', '41.00'),
('91638', '2.00'),
('21786', '16.00'),
('46263', '1.00'),
('31268', '34.00'),
('82670', '20.00'),
('77114', '5.00'),
('86626', '28.00'),
('85206', '16.00'),
('17729', '8.00'),
('31722', '19.00'),
('97495', '15.00'),
('66124', '28.00'),
('82284', '38.00'),
('46844', '4.00'),
('53221', '25.00'),
('24132', '34.00'),
('96637', '24.00'),
('53972', '22.00'),
('18311', '19.00'),
('22042', '9.00'),
('35050', '34.00'),
('34692', '50.00'),
('45232', '11.00'),
('60292', '39.00'),
('22769', '34.00'),
('82275', '22.00'),
('17978', '43.00'),
('99400', '12.00'),
('80796', '48.00'),
('51565', '49.00'),
('83997', '38.00'),
('15001', '21.00'),
('54186', '30.00'),
('41060', '37.00'),
('27957', '22.00'),
('83551', '44.00'),
('61180', '5.00'),
('66880', '46.00'),
('29554', '14.00'),
('82330', '5.00'),
('17345', '11.00'),
('29492', '26.00'),
('57423', '10.00'),
('14859', '10.00'),
('96360', '30.00'),
('86822', '46.00'),
('71630', '10.00'),
('33959', '50.00'),
('55237', '28.00'),
('80477', '46.00'),
('32013', '30.00'),
('50934', '35.00'),
('82265', '31.00'),
('27040', '43.00'),
('93881', '32.00'),
('55040', '44.00'),
('93543', '22.00'),
('88901', '35.00'),
('30260', '49.00'),
('88044', '2.00'),
('25741', '28.00'),
('55699', '48.00'),
('16183', '38.00'),
('64776', '50.00'),
('81411', '11.00'),
('61504', '3.00'),
('25709', '37.00'),
('59152', '40.00'),
('82868', '4.00'),
('44531', '46.00'),
('90427', '1.00'),
('78494', '37.00'),
('49716', '15.00'),
('54842', '23.00'),
('51808', '26.00'),
('18849', '3.00'),
('13098', '37.00'),
('90766', '45.00'),
('51979', '8.00'),
('24307', '21.00'),
('79115', '30.00'),
('80450', '48.00'),
('68912', '22.00'),
('57482', '37.00'),
('51827', '10.00'),
('25376', '29.00'),
('72986', '12.00'),
('83759', '43.00'),
('28321', '15.00'),
('79488', '30.00'),
('60084', '7.00'),
('89693', '34.00'),
('77121', '19.00'),
('83212', '23.00'),
('58253', '25.00'),
('41079', '13.00'),
('97562', '24.00'),
('95127', '6.00'),
('78294', '35.00'),
('65090', '40.00'),
('90718', '33.00'),
('20266', '13.00'),
('32141', '13.00'),
('67674', '8.00'),
('84225', '46.00'),
('43749', '26.00'),
('38124', '36.00'),
('96845', '11.00'),
('63019', '25.00'),
('15929', '45.00'),
('62243', '6.00'),
('62724', '22.00'),
('26466', '39.00'),
('64611', '17.00'),
('29434', '39.00'),
('57389', '42.00'),
('93937', '23.00'),
('27075', '34.00'),
('75754', '28.00'),
('24245', '22.00'),
('11298', '1.00'),
('70613', '39.00'),
('68420', '5.00'),
('17117', '5.00'),
('27669', '50.00'),
('98839', '34.00'),
('56624', '32.00'),
('25213', '6.00'),
('69784', '4.00'),
('10896', '46.00'),
('12291', '13.00'),
('44969', '11.00'),
('74576', '3.00'),
('10713', '10.00'),
('78790', '36.00'),
('77952', '6.00'),
('79569', '10.00'),
('28768', '45.00'),
('35504', '5.00'),
('81734', '13.00'),
('54386', '1.00'),
('37400', '2.00'),
('54780', '48.00'),
('94389', '6.00'),
('66196', '33.00'),
('25745', '38.00'),
('10302', '50.00'),
('63121', '13.00'),
('14155', '33.00'),
('48246', '28.00'),
('45618', '49.00'),
('64685', '24.00'),
('47570', '15.00'),
('63902', '2.00'),
('20717', '12.00'),
('90733', '15.00'),
('38921', '1.00'),
('18507', '34.00'),
('30742', '38.00'),
('94737', '35.00'),
('13033', '34.00'),
('17330', '26.00'),
('20914', '18.00'),
('75698', '18.00'),
('94385', '43.00'),
('78396', '23.00'),
('23168', '30.00'),
('29878', '5.00'),
('44802', '36.00'),
('68913', '31.00'),
('69833', '35.00'),
('56889', '18.00'),
('24751', '38.00'),
('99066', '21.00'),
('16891', '49.00'),
('72045', '20.00'),
('73563', '1.00'),
('54225', '8.00'),
('35160', '34.00'),
('67161', '42.00'),
('47216', '46.00'),
('15994', '9.00'),
('26427', '28.00'),
('45435', '50.00'),
('77122', '13.00'),
('48508', '33.00'),
('13924', '19.00'),
('51474', '3.00'),
('57755', '38.00'),
('82618', '13.00'),
('38483', '22.00'),
('82390', '14.00'),
('93925', '8.00'),
('16232', '49.00'),
('12225', '36.00'),
('52632', '8.00'),
('20298', '46.00'),
('54507', '49.00'),
('20788', '29.00'),
('51847', '10.00'),
('88939', '37.00'),
('37807', '36.00'),
('95156', '26.00'),
('17155', '23.00'),
('45654', '46.00'),
('28473', '15.00'),
('58360', '11.00'),
('50331', '19.00'),
('39125', '35.00'),
('34406', '7.00'),
('64225', '5.00'),
('17891', '3.00'),
('93810', '23.00'),
('40832', '19.00'),
('80965', '34.00'),
('47225', '27.00'),
('66760', '3.00'),
('14269', '41.00'),
('75879', '5.00'),
('49511', '11.00'),
('38370', '7.00'),
('96100', '27.00'),
('48337', '26.00'),
('98718', '28.00'),
('54134', '38.00'),
('64991', '4.00'),
('20341', '33.00'),
('27217', '43.00'),
('31917', '20.00'),
('11276', '44.00'),
('68647', '21.00'),
('87779', '36.00'),
('85106', '12.00'),
('90536', '17.00'),
('42597', '22.00'),
('12359', '35.00'),
('20104', '4.00'),
('80672', '43.00'),
('61124', '24.00'),
('95634', '1.00'),
('85277', '38.00'),
('50291', '46.00'),
('77891', '31.00'),
('94208', '28.00'),
('39368', '1.00'),
('30118', '39.00'),
('33838', '31.00'),
('52716', '19.00'),
('13124', '13.00'),
('86232', '45.00'),
('99263', '31.00'),
('46738', '44.00'),
('10027', '2.00'),
('41962', '13.00'),
('26324', '35.00'),
('84727', '40.00'),
('83945', '16.00'),
('75278', '29.00'),
('28631', '8.00'),
('93551', '7.00'),
('84480', '41.00'),
('72891', '43.00'),
('81801', '24.00'),
('84651', '5.00'),
('95871', '31.00'),
('68987', '15.00'),('44662', '47.00'),
('62396', '34.00'),
('74572', '16.00'),
('57900', '38.00'),
('59536', '50.00'),
('32733', '17.00'),
('54088', '36.00'),
('14330', '36.00'),
('98313', '28.00'),
('90747', '49.00'),
('17980', '31.00'),
('35389', '16.00'),
('16600', '39.00'),
('44382', '20.00'),
('98067', '38.00'),
('78910', '37.00'),
('65168', '5.00'),
('37905', '24.00'),
('20995', '15.00'),
('11444', '46.00'),
('63640', '22.00'),
('42307', '10.00'),
('41214', '2.00'),
('16477', '27.00'),
('67922', '39.00'),
('35255', '19.00'),
('50340', '38.00'),
('48656', '48.00'),
('18911', '28.00'),
('49610', '10.00'),
('59083', '4.00'),
('29772', '22.00'),
('82440', '15.00'),
('45499', '7.00'),
('40456', '4.00'),
('76256', '49.00'),
('77357', '36.00'),
('16362', '3.00'),
('67994', '31.00'),
('76781', '8.00'),
('59101', '17.00'),
('39647', '30.00'),
('37167', '39.00'),
('67258', '19.00'),
('69370', '22.00'),
('26598', '5.00'),
('97973', '47.00'),
('99210', '5.00'),
('50495', '22.00'),
('77815', '4.00'),
('37182', '31.00'),
('51956', '2.00'),
('35067', '45.00'),
('25037', '39.00'),
('35606', '2.00'),
('98338', '16.00'),
('22264', '41.00'),
('92971', '2.00'),
('88064', '19.00'),
('42428', '22.00'),
('28603', '46.00'),
('39304', '23.00'),
('95211', '5.00'),
('23920', '23.00'),
('99781', '22.00'),
('98738', '28.00'),
('20026', '24.00'),
('68965', '16.00'),
('49971', '31.00'),
('16416', '10.00'),
('63230', '13.00'),
('89559', '4.00'),
('59671', '17.00'),
('29780', '13.00'),
('66687', '18.00'),
('23067', '28.00'),
('12396', '11.00'),
('75481', '48.00'),
('61774', '3.00'),
('49717', '37.00'),
('89765', '13.00'),
('19472', '45.00'),
('53669', '49.00'),
('98074', '46.00'),
('14352', '28.00'),
('26636', '24.00'),
('45969', '4.00'),
('18099', '34.00'),
('90631', '17.00'),
('45854', '50.00'),
